traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
930,-7.37802219,-6.65792084,1.82612824,9.95802116,1.95420146,-1.3723067,8.47161198,14.4995203,-5.75561714,-8.98170471,-8.64879322,7.74573135,10.4945469,2.67695928,0.635870516,-11.2902994,0.723244309,6.2389555,-4.21988344,-1.73790562
931,-7.38253355,-6.65669632,1.76375747,9.9748621,1.94425023,-1.3638351,8.47582626,14.4545145,-6.01514053,-8.86534309,-8.76161194,7.4851346,10.6379824,2.55199695,0.564238429,-11.3128109,0.619326353,6.25851679,-4.22796631,-1.65756834
932,-7.39347124,-6.65258312,1.71075785,9.99285698,1.93196702,-1.34984231,8.48551369,14.3801603,-6.34697294,-8.7103672,-8.90696144,7.12106657,10.8212709,2.38917756,0.478648871,-11.3392076,0.47638759,6.2762742,-4.2326355,-1.56668484
933,-7.40050268,-6.64942265,1.65554571,10.0101843,1.92162442,-1.33722663,8.49440479,14.3123646,-6.64432526,-8.55758095,-9.03275299,6.79208803,10.9768505,2.24784946,0.404418021,-11.3638039,0.34357205,6.28870678,-4.23283243,-1.48548782
934,-7.40407848,-6.64707947,1.59406948,10.0263491,1.9112128,-1.32859695,8.4992981,14.2532854,-6.90945435,-8.41250992,-9.13955688,6.49589348,11.1114931,2.1215682,0.336356908,-11.389679,0.21487692,6.29440689,-4.22738266,-1.41075683
935,-7.4053092,-6.64504814,1.5314914,10.0419064,1.90203476,-1.3208338,8.50359249,14.1980963,-7.15432501,-8.26873112,-9.23472881,6.22123098,11.229845,2.00769663,0.275102317,-11.4143934,0.0923018679,6.29673147,-4.21920204,-1.34208775
936,-7.40969467,-6.64186096,1.47596037,10.0584278,1.89140427,-1.30889702,8.51240826,14.1196032,-7.44478846,-8.09087849,-9.34719944,5.87250185,11.3678694,1.8740871,0.207838535,-11.441433,-0.0594007373,6.29295349,-4.20482016,-1.27110374
937,-7.41304731,-6.63866758,1.42198265,10.0752859,1.8833009,-1.294011,8.52543259,14.0323734,-7.73799562,-7.89457226,-9.45803928,5.51030731,11.5002403,1.74485564,0.146002129,-11.4676046,-0.214250669,6.28484011,-4.18697834,-1.20470572
938,-7.41403961,-6.63607597,1.3653965,10.090723,1.87284625,-1.28471088,8.5316782,13.9595613,-7.99348736,-7.71897316,-9.54789448,5.19448233,11.6095219,1.63315928,0.088962242,-11.4937897,-0.361369759,6.27104807,-4.16460991,-1.14462972
939,-7.41252279,-6.63441658,1.30404389,10.1053991,1.86352491,-1.27701211,8.53656864,13.8893318,-8.23391438,-7.54413748,-9.62806034,4.89292049,11.7086992,1.52859426,0.0360856131,-11.520277,-0.506495237,6.25214815,-4.13882542,-1.09009969
