framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.000244140625,1,2.339682,2.339682,2.339682,2.339682,2.339682
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.0001220703125,1,4.709034,4.709034,4.709034,4.709034,4.709034
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.0001220703125,1,4.659444,4.659444,4.659444,4.659444,4.659444
julia,vern7,numerical,adaptive,julia,both,1024,tol,0.010000000000000002,1,0.101127,0.101127,0.101127,0.101127,0.101127
julia,vern7,numerical,adaptive,julia,none,1024,tol,0.010000000000000002,1,0.058754,0.058754,0.058754,0.058754,0.058754
julia,vern7,numerical,adaptive,julia,both,1024,tol,0.001,1,0.104533,0.104533,0.104533,0.104533,0.104533
julia,vern7,numerical,adaptive,julia,none,1024,tol,0.001,1,0.063484,0.063484,0.063484,0.063484,0.063484
julia,vern7,numerical,adaptive,julia,both,1024,tol,0.0001,1,0.11512,0.11512,0.11512,0.11512,0.11512
julia,vern7,numerical,adaptive,julia,none,1024,tol,0.0001,1,0.073932,0.073932,0.073932,0.073932,0.073932
julia,vern7,numerical,adaptive,julia,both,1024,tol,1.0e-5,1,0.126794,0.126794,0.126794,0.126794,0.126794
julia,vern7,numerical,adaptive,julia,none,1024,tol,1.0e-5,1,0.084268,0.084268,0.084268,0.084268,0.084268
julia,vern7,numerical,adaptive,julia,both,1024,tol,1.0e-6,1,0.153046,0.153046,0.153046,0.153046,0.153046
julia,vern7,numerical,adaptive,julia,none,1024,tol,1.0e-6,1,0.109457,0.109457,0.109457,0.109457,0.109457
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8,dt,0.0009765625,20,1.112113,1.13624775,1.159685,1.17161525,1.194534
julia,rosenbrock23_sciml,performance,fixed,fixed,none,8,dt,0.0009765625,20,1.110889,1.1118884,1.1176655,1.132037,1.165895
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8,tol,1.0e-8,20,3.167071,3.1698545,3.1773625,3.18088675,3.185784
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8,tol,1.0e-8,20,3.1313,3.1317199,3.1376415,3.1391017000000003,3.140939
julia,rosenbrock23_sciml,performance,fixed,fixed,both,32,dt,0.0009765625,20,1.149342,1.1504952999999998,1.1628545,1.1884517499999998,1.200417
julia,rosenbrock23_sciml,performance,fixed,fixed,none,32,dt,0.0009765625,20,1.105684,1.1080647,1.1175845,1.12854395,1.131051
julia,rosenbrock23_sciml,performance,adaptive,julia,both,32,tol,1.0e-8,20,3.194663,3.19522635,3.2075044999999998,3.2147306500000004,3.215009
julia,rosenbrock23_sciml,performance,adaptive,julia,none,32,tol,1.0e-8,20,3.1481,3.1487973,3.1626665000000003,3.1659677999999998,3.166762
julia,rosenbrock23_sciml,performance,fixed,fixed,both,128,dt,0.0009765625,20,1.117646,1.14130955,1.1599979999999999,1.17479775,1.175762
