framework,algorithm,phase,mode,tier,n,setting_kind,setting,sample,time_ms
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,4,0.703041
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,5,0.699463
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,6,0.697396
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,7,0.699999
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,8,0.698126
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,9,0.703993
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,10,0.701651
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,11,0.659261
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,12,0.681431
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,13,0.707504
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,14,0.709569
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,15,0.700483
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,16,0.702372
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,17,0.70626
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,18,0.706537
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,19,0.66117
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,0,2.966594
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,1,2.928019
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,2,2.974862
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,3,18.582834
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,4,2.644029
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,5,2.618528
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,6,2.615138
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,7,2.598737
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,8,2.596226
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,9,2.596503
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,10,2.663953
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,11,2.58926
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,12,2.60642
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,13,2.599071
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,14,2.594986
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,15,2.602841
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,16,2.583761
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,17,2.873779
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,18,2.935538
julia,tsit5,performance,fixed,fixed,32768,dt,0.0009765625,19,2.971853
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,0,1.810689
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,1,1.773374
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,2,1.782361
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,3,7.333755
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,4,1.461292
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,5,1.437376
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,6,1.433424
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,7,1.427982
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,8,1.435404
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,9,1.419309
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,10,1.423268
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,11,1.43115
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,12,1.537226
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,13,1.447317
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,14,1.431354
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,15,1.456972
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,16,1.425643
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,17,1.441476
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,18,1.425147
julia,tsit5,performance,adaptive,julia,32768,tol,1.0e-8,19,1.439197
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,0,9.899754
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,1,12.825963
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,2,9.906124
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,3,10.891614
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,4,10.558505
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,5,9.894175
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,6,10.75259
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,7,9.871694
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,8,10.832014
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,9,9.868899
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,10,9.827632
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,11,9.877027
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,12,9.851707
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,13,9.942027
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,14,9.84238
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,15,9.849885
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,16,30.767558
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,17,9.895525
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,18,46.293704
julia,tsit5,performance,fixed,fixed,131072,dt,0.0009765625,19,9.896914
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,0,5.663229
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,1,5.607479
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,2,10.729759
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,3,4.434251
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,4,4.420088
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,5,4.539375
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,6,4.415866
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,7,5.396248
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,8,5.26861
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,9,4.422734
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,10,4.40762
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,11,4.440651
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,12,5.488527
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,13,5.742989
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,14,4.529447
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,15,4.402069
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,16,4.4155
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,17,4.429111
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,18,4.413584
julia,tsit5,performance,adaptive,julia,131072,tol,1.0e-8,19,4.391469
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,0,42.441933
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,1,48.759782
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,2,42.455694
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,3,43.534031
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,4,43.438599
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,5,38.603177
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,6,41.434202
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,7,42.305611
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,8,41.238123
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,9,38.808189
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,10,38.730214
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,11,49.768946
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,12,42.936347
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,13,43.42513
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,14,44.533754
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,15,38.832069
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,16,41.671181
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,17,39.763679
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,18,41.418181
julia,tsit5,performance,fixed,fixed,524288,dt,0.0009765625,19,70.631155
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,0,20.033713
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,1,18.862852
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,2,33.767357
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,3,16.203341
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,4,16.227315
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,5,19.715329
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,6,18.944365
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,7,19.002901
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,8,18.350596
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,9,17.192881
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,10,18.875013
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,11,47.586423
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,12,64.085843
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,13,16.201344
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,14,20.027548
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,15,21.076047
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,16,22.10183
julia,tsit5,performance,adaptive,julia,524288,tol,1.0e-8,17,16.288624
