traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
189,-4.23847914,-1.53462207,-1.611408,-0.906429827,-0.926093757,5.88022852,-3.22332621,-3.56655025,-5.43683529,1.53882957,3.59832311,-7.2855463,-0.895070851,6.89184284,4.92690563,-5.59796286,1.24912786,8.55963516,6.69279146,-1.74912953,2.92221642,8.30720139,6.61134148,1.07570124,2.49944949,3.41365218,2.4145596,2.09749055,3.11881638,5.06005383,5.33915997,-0.902336538
190,-4.22737455,-1.52802253,-1.61238277,-0.902516484,-0.922476411,5.9098568,-3.26326346,-3.47389936,-5.45656013,1.47297025,3.63452744,-7.28919554,-0.906228423,6.91343737,4.87430191,-5.63779259,1.22394812,8.59625149,6.67014265,-1.79153907,2.92824841,8.35075855,6.60270596,1.03887093,2.50447345,3.42713237,2.42170835,2.10571671,3.13699651,5.0871129,5.32424831,-0.9632442
191,-4.21577311,-1.52173185,-1.61328435,-0.898588896,-0.918771982,5.93937778,-3.30210853,-3.38012743,-5.47508574,1.4078927,3.67078447,-7.29239178,-0.917078316,6.9350853,4.82125282,-5.67734814,1.19787848,8.63230801,6.64733028,-1.83394563,2.93402648,8.3944416,6.59361935,1.00183129,2.50963688,3.44078493,2.42890549,2.11393833,3.15522861,5.11414003,5.30869246,-1.02406967
192,-4.20363379,-1.51578128,-1.61412942,-0.894667566,-0.915067315,5.96867943,-3.33964777,-3.28566718,-5.49244022,1.34378278,3.70684266,-7.29521084,-0.927891016,6.95665264,4.7676115,-5.71670341,1.17083347,8.66793823,6.62424517,-1.87642932,2.93956709,8.43828583,6.58404303,0.964658201,2.51497579,3.4545393,2.43607283,2.12219286,3.17358518,5.14116287,5.29241943,-1.08478153
193,-4.19105673,-1.51018155,-1.61493349,-0.890766025,-0.911340833,5.99775791,-3.37590647,-3.19059372,-5.50865173,1.28076351,3.74263835,-7.29769707,-0.938600659,6.97808218,4.71369171,-5.75575733,1.14293218,8.70299816,6.60105896,-1.91886342,2.94485569,8.48222923,6.574018,0.927338064,2.52044773,3.46841979,2.44326711,2.13046455,3.19199586,5.16809034,5.2755022,-1.14522469
194,-4.17801952,-1.50489616,-1.61566436,-0.886862874,-0.907538533,6.0267477,-3.4110477,-3.09441304,-5.52370167,1.21849298,3.7785027,-7.29971457,-0.949100494,6.99959898,4.65903997,-5.79460669,1.11400533,8.7375679,6.57760525,-1.96140993,2.94986677,8.52634525,6.56351852,0.8897686,2.52603436,3.48245716,2.45053577,2.13877726,3.21046925,5.1949234,5.2579093,-1.20543504
195,-4.16438437,-1.49993742,-1.61631012,-0.882939041,-0.903628409,6.05561686,-3.4450469,-2.99731684,-5.53760719,1.15716386,3.81430936,-7.3013258,-0.95938921,7.02113152,4.60400391,-5.83313656,1.08418739,8.77157497,6.55404615,-2.00376964,2.9547317,8.5706501,6.55229521,0.852087319,2.53194642,3.49672937,2.45774412,2.14707351,3.22907782,5.2218051,5.23960257,-1.26553476
196,-4.15029001,-1.4952898,-1.61684728,-0.878977954,-0.899506509,6.08448935,-3.47807407,-2.8987987,-5.55041695,1.09661937,3.85015321,-7.30248451,-0.96946013,7.04271173,4.54839373,-5.87144709,1.05337846,8.80492306,6.53044415,-2.04621553,2.95923615,8.61496925,6.54082203,0.814263761,2.53784323,3.51104832,2.46503115,2.15542388,3.24773049,5.24854565,5.22063828,-1.32528257
197,-4.13580275,-1.49099016,-1.61741459,-0.875092983,-0.895582438,6.11289263,-3.50941205,-2.80073571,-5.56208563,1.03745794,3.88550735,-7.30341482,-0.979568779,7.06408691,4.49254465,-5.90938282,1.02173185,8.83779621,6.50658083,-2.08857369,2.96354079,8.65950966,6.5286746,0.776292026,2.54401064,3.52555919,2.47229481,2.16379786,3.26650214,5.27525425,5.20098209,-1.38483202
198,-4.12068748,-1.48697054,-1.61781824,-0.871125102,-0.891290963,6.14149714,-3.54003692,-2.7005415,-5.57263422,0.978879333,3.9211843,-7.30377388,-0.989293396,7.08567142,4.43592882,-5.94711304,0.98900193,8.86993504,6.48280287,-2.13098884,2.96750379,8.70405769,6.5162015,0.73816818,2.55019522,3.54015136,2.47961068,2.17222857,3.285393,5.30194187,5.18057966,-1.44422531
