algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_min_ms,julia_min_ms,julia_over_cubie_speedup
tsit5,performance,adaptive,pi,none,512,tol,1e-08,0.3563979407772422,0.339506,0.9526037082582357
tsit5,performance,adaptive,pi,none,524288,tol,1e-08,3.9841370307840407,12.60914,3.1648359237078347
tsit5,performance,adaptive,pi,none,8,tol,1e-08,0.3916920395568013,0.2804,0.7158685183320855
tsit5,performance,adaptive,pi,none,8192,tol,1e-08,0.3855610266327858,0.477163,1.2375809976625498
tsit5,performance,adaptive,pi,none,8388608,tol,1e-08,57.93847900349647,196.293701,3.387967795774447
tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,0.6743520498275757,0.440192,0.6527629004947078
tsit5,performance,fixed,fixed,both,131072,dt,0.0009765625,7.221526000648737,9.777343,1.3539164712723688
tsit5,performance,fixed,fixed,both,2048,dt,0.0009765625,0.6869880016893148,0.451053,0.6565660519410138
tsit5,performance,fixed,fixed,both,2097152,dt,0.0009765625,108.43853000551462,146.560827,1.3515567482567927
tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,0.6716089555993676,0.437989,0.6521488380230474
tsit5,performance,fixed,fixed,both,32768,dt,0.0009765625,2.1718000061810017,2.586391,1.1908974088954145
tsit5,performance,fixed,fixed,both,512,dt,0.0009765625,0.6758860545232892,0.456162,0.6749096196721157
tsit5,performance,fixed,fixed,both,524288,dt,0.0009765625,27.429146983195096,38.469562,1.4025066847164074
tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,0.675644027069211,0.444837,0.658389598927709
tsit5,performance,fixed,fixed,both,8192,dt,0.0009765625,0.8677239529788494,0.702564,0.8096630242695684
tsit5,performance,fixed,fixed,both,8388608,dt,0.0009765625,433.0580169917084,625.596118,1.444601169944345
tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,0.5846370477229357,0.404141,0.6912682006281712
tsit5,performance,fixed,fixed,none,131072,dt,0.0009765625,6.631651020143181,8.887089,1.3401020308526612
tsit5,performance,fixed,fixed,none,2048,dt,0.0009765625,0.5868999287486076,0.403219,0.6870319457351896
tsit5,performance,fixed,fixed,none,2097152,dt,0.0009765625,99.1079590166919,133.771869,1.349759094297058
tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,0.5835680058225989,0.402471,0.6896728333018803
tsit5,performance,fixed,fixed,none,32768,dt,0.0009765625,1.9577279454097152,2.315379,1.1826868004969073
