framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,18,0.43521999759832397
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,19,0.7432959973812103
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,19,0.44074100151192397
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,0,0.9854450036073104
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,0,0.6835539970779791
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,1,0.9269559959648177
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,1,0.6230299986782484
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,2,0.9290599991800264
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,2,0.6107959998189472
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,3,0.9239069986506365
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,3,0.6111490001785569
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,4,0.9278669967898168
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,4,0.6118989986134693
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,5,0.9290430025430396
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,5,0.6209629937075078
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,6,0.9247470006812364
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,6,0.6144459985080175
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,7,0.924261003092397
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,7,0.6134810028015636
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,8,0.9343189958599396
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,8,0.6198359988047741
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,9,0.9296689968323335
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,9,0.6123970015323721
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,10,0.9283600011258386
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,10,0.6112160044722259
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,11,0.9220700012519956
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,11,0.6152869973448105
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,12,0.9272239985875785
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,12,0.6158649994176812
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,13,0.9237909980583936
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,13,0.6137289965408854
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,14,0.9263569954782724
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,14,0.6129799949121661
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,15,0.9205310052493587
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,15,0.6209889979800209
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,16,0.93394800205715
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,16,0.613475996942725
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,17,0.9227619957528077
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,17,0.6113119961810298
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,18,0.9233889941242523
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,18,0.6107740045990795
cubie,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,19,0.9261080049327575
cubie,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,19,0.6170099950395525
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,0,0.9179679982480593
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,0,0.4486560064833611
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,1,0.8251319959526882
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,1,0.44526899728225544
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,2,0.7628130042576231
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,2,0.44271400111028925
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,3,0.7519039936596528
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,3,0.4486500038183294
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,4,0.7498400009353645
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,4,0.44443600199883804
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,5,0.752838997868821
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,5,0.4444310034159571
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,6,0.7512279989896342
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,6,0.4494439999689348
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,7,0.7438169996021315
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,7,0.44331199751468375
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,8,0.762934003432747
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,8,0.44448100379668176
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,9,0.7532510062446818
cubie,tsit5,performance,adaptive,default,none,128,tol,1e-08,9,0.4448219988262281
cubie,tsit5,performance,adaptive,default,both,128,tol,1e-08,10,0.7559090008726344
