framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.001953125,10,355.6729,355.74602500000003,356.09205,356.86577,356.9591
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.0009765625,10,714.2664,714.322785,714.8251,716.1141299999999,716.6031
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.0009765625,10,709.9003,709.90381,710.6975,710.906895,710.9073
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.00048828125,10,1422.6577,1422.69334,1423.1306,1426.911085,1427.041
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.00048828125,10,1417.8568,1417.89775,1418.25725,1420.9252099999999,1421.5355
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.000244140625,10,2839.1174,2839.213025,2840.9416499999998,2842.67781,2842.9137
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.000244140625,10,2834.722,2834.73712,2835.33115,2839.0986350000003,2839.1012
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.0001220703125,3,5674.3664,5675.024619999999,5680.9486,5682.44656,5682.613
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.0001220703125,3,5671.4129,5671.47263,5672.0102,5684.36351,5685.7361
julia,vern7,work_precision,adaptive,julia,both,131072,tol,0.010000000000000002,20,39.0131,39.084255000000006,39.47955,82.707935,83.8068
julia,vern7,work_precision,adaptive,julia,none,131072,tol,0.010000000000000002,20,34.1854,34.250855,34.421350000000004,34.55893,34.7001
julia,vern7,work_precision,adaptive,julia,both,131072,tol,0.001,20,40.6219,40.64698,41.26745,41.825355,41.8587
julia,vern7,work_precision,adaptive,julia,none,131072,tol,0.001,20,36.1424,36.14810000000001,36.45545,36.743010000000005,36.8363
julia,vern7,work_precision,adaptive,julia,both,131072,tol,0.0001,20,50.7123,50.979915,51.30695,52.44508999999999,52.6387
julia,vern7,work_precision,adaptive,julia,none,131072,tol,0.0001,20,46.0661,46.170315,46.2812,46.44922,46.6187
julia,vern7,work_precision,adaptive,julia,both,131072,tol,1.0e-5,20,64.4906,64.715465,64.97794999999999,66.12564499999999,66.1474
julia,vern7,work_precision,adaptive,julia,none,131072,tol,1.0e-5,20,60.0737,60.093650000000004,60.3055,60.41845,60.5771
julia,vern7,work_precision,adaptive,julia,both,131072,tol,1.0e-6,20,86.3399,86.63554,87.22195,87.845755,87.8468
julia,vern7,work_precision,adaptive,julia,none,131072,tol,1.0e-6,20,81.8537,81.87877999999999,82.10955000000001,82.450035,83.7978
julia,vern7,work_precision,adaptive,julia,both,131072,tol,1.0000000000000001e-7,10,172.2822,172.32738,172.90545,174.12313,174.2152
julia,vern7,work_precision,adaptive,julia,none,131072,tol,1.0000000000000001e-7,10,167.131,167.16547000000003,167.80554999999998,168.47641,168.688
julia,vern7,work_precision,adaptive,julia,both,131072,tol,1.0e-8,10,755.4736,756.2537649999999,764.4148,768.25612,768.3949
julia,vern7,work_precision,adaptive,julia,none,131072,tol,1.0e-8,10,754.2799,754.95004,759.98505,762.3148649999999,762.6831
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8,dt,0.0009765625,10,148.5959,148.602965,149.1058,150.29274999999998,150.9268
julia,rosenbrock23_sciml,performance,fixed,fixed,none,8,dt,0.0009765625,10,148.5314,148.56722,149.1966,149.35054,149.4166
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8,tol,1.0e-8,10,705.6711,705.823785,707.7568,709.7883549999999,710.4004
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8,tol,1.0e-8,10,705.6502,705.71473,707.7136,710.2778099999999,711.4992
